DG_E_20131105_78_1_002_S5.mat runs from 2013-11-05 17:34:48 to 2013-11-05 17:37:28
DG_E_20131105_78_1_003_S5.mat runs from 2013-11-05 17:44:32 to 2013-11-05 17:46:57
DG_E_20131105_78_1_004_S5.mat runs from 2013-11-05 17:54:33 to 2013-11-05 18:01:14
DG_E_20131105_78_1_005_S5.mat runs from 2013-11-05 18:08:22 to 2013-11-05 18:21:17
DG_E_20131105_78_1_006_S5.mat runs from 2013-11-05 18:31:05 to 2013-11-05 18:36:04
DG_E_20131105_78_1_007_S5.mat runs from 2013-11-05 18:40:33 to 2013-11-05 18:48:14
DG_E_20131105_78_1_008_S5.mat runs from 2013-11-05 18:57:53 to 2013-11-05 19:04:59
DG_E_20131105_78_1_009_S5.mat runs from 2013-11-05 19:10:48 to 2013-11-05 19:18:33
DG_E_20131105_78_1_010_S5.mat runs from 2013-11-05 19:26:30 to 2013-11-05 19:29:00
DG_E_20131105_78_1_011_S5.mat runs from 2013-11-05 19:36:10 to 2013-11-05 19:41:05
DG_E_20131105_78_1_012_S5.mat runs from 2013-11-05 19:56:40 to 2013-11-05 19:58:29
DG_E_20131105_78_1_013_S5.mat runs from 2013-11-05 20:07:46 to 2013-11-05 20:09:37
DG_E_20131105_78_1_014_S5.mat runs from 2013-11-05 20:16:04 to 2013-11-05 20:19:54
DG_E_20131105_78_1_015_S5.mat runs from 2013-11-05 20:24:01 to 2013-11-05 20:26:44
DG_E_20131105_78_1_016_S5.mat runs from 2013-11-05 20:32:46 to 2013-11-05 20:34:02
DG_E_20131105_78_1_017_S5.mat runs from 2013-11-05 20:39:10 to 2013-11-05 20:42:11
DG_E_20131105_78_2_001_S5.mat runs from 2013-11-05 17:09:59 to 2013-11-05 17:24:23
DG_E_20131105_78_2_002_S5.mat runs from 2013-11-05 17:33:10 to 2013-11-05 17:38:47
DG_E_20131105_78_2_003_S5.mat runs from 2013-11-05 17:43:00 to 2013-11-05 17:50:06
DG_E_20131105_78_2_004_S5.mat runs from 2013-11-05 17:53:43 to 2013-11-05 18:02:02
