,,alpha,beta,date,depth,diff,err_dir,err_mag,err_u,err_v,filename,lat,lon,mat_times,mean_diff,num,obs_speed,sdev_diff,sim_speed,start,stop,tide,u_diff,u_obs_speed,u_sim_speed,uobs,usim,vobs,vsim,wind_speed
PP_F_20140812_78_Y_016_N02,2,0.360323886611,0.983606557377,2014_Aug_12_3D,-8.75479247776,-0.613689057113,-68.9508498215,0.709716645364,0.254907985841,-0.662359143865,PP_F_20140812_78_Y_016_N02,44.3887469452,-66.2098103995,735823.592361,,2,2.4011949577,,1.78750590058,10,16,flood,-0.613689057113,2.4011949577,1.78750590058,0.189691936973,0.444599922813,2.39369049668,1.73133135282,N02
PP_F_20140812_78_Y_016_N02,3,0.361673414422,0.983606557377,2014_Aug_12_3D,-10.8837555456,-0.354306832908,-69.7936026733,0.393051633905,0.135761207113,-0.368861059966,PP_F_20140812_78_Y_016_N02,44.3898717128,-66.2096260814,735823.593056,,2,2.02376282616,,1.66945599325,10,16,flood,-0.354306832908,2.02376282616,1.66945599325,0.103163807784,0.238925014897,2.02113166451,1.65227060455,N02
PP_F_20140812_78_Y_016_N02,4,0.363022942007,0.983606557377,2014_Aug_12_3D,-6.9970682121,-0.526412907891,-80.4831691657,0.613548371635,0.101442445639,-0.605104151827,PP_F_20140812_78_Y_016_N02,44.390944764,-66.2094427692,735823.59375,,2,2.16124358834,,1.63483068045,10,16,flood,-0.526412907891,2.16124358834,1.63483068045,0.628954909676,0.730397355315,2.06770151854,1.46259736671,N02
PP_F_20140812_78_Y_016_N02,5,0.364372469592,0.983606557377,2014_Aug_12_3D,-14.6267219118,-0.375651685406,33.2154471278,0.527926307694,-0.441671943335,-0.289192117503,PP_F_20140812_78_Y_016_N02,44.3919338705,-66.208941238,735823.594444,,2,1.98093571472,,1.60528402931,10,16,flood,-0.375651685406,1.98093571472,1.60528402931,0.605650047645,0.16397810431,1.88607908785,1.59688697035,N02
PP_F_20140812_78_Y_016_N02,6,0.365721997403,0.983606557377,2014_Aug_12_3D,-25.046369142,-0.305020860843,24.5258106895,0.525887617286,-0.478439074084,-0.218297591386,PP_F_20140812_78_Y_016_N02,44.3930990808,-66.2086579297,735823.595139,,2,2.16027082346,,1.85524996262,10,16,flood,-0.305020860843,2.16027082346,1.85524996262,0.625604076819,0.147165002735,2.06770151854,1.84940392715,N02
PP_F_20140812_78_Y_007_N02,0,0.171401259669,0.983606557377,2014_Aug_12_3D,-50.4420286362,0.0751446480848,-28.6597221827,0.296098188679,-0.259821285223,0.142010693554,PP_F_20140812_78_Y_007_N02,44.3834329443,-66.2093194295,735823.495139,-0.180149947465,32,1.64406401642,0.324468640633,1.71920866451,274,284,flood,0.0751446480848,1.64406401642,1.71920866451,0.532516934859,0.272695649635,1.5554331243,1.69744381786,N02
PP_F_20140812_78_Y_007_N02,1,0.172728295247,0.983606557377,2014_Aug_12_3D,-29.3223944598,0.204038900142,-49.2783571849,0.318426357267,-0.207736494301,0.241331502166,PP_F_20140812_78_Y_007_N02,44.3846536428,-66.2089997856,735823.495833,,32,2.57192041659,,2.77595931673,274,284,flood,0.204038900142,2.57192041659,2.77595931673,0.539162153828,0.331425659528,2.51477211714,2.7561036193,N02
PP_F_20140812_78_Y_007_N02,2,0.174077822832,0.983606557377,2014_Aug_12_3D,-34.8366004691,0.0418840504752,-72.4612371533,0.045970542679,-0.0138532670595,0.0438335235405,PP_F_20140812_78_Y_007_N02,44.3860970484,-66.2086859671,735823.496528,,32,2.6744434876,,2.71632753807,274,284,flood,0.0418840504752,2.6744434876,2.71632753807,0.326151779294,0.312298512234,2.6544816792,2.69831520274,N02
PP_F_20140812_78_Y_007_N02,3,0.175449842649,0.983606557377,2014_Aug_12_3D,-37.657916354,0.151297519806,53.0978664436,0.172040829728,0.103301916767,0.137574565548,PP_F_20140812_78_Y_007_N02,44.3875767477,-66.2083795248,735823.497222,,32,3.02645682741,,3.17775434721,274,284,flood,0.151297519806,3.02645682741,3.17775434721,0.406015420755,0.509317337522,2.99909859896,3.13667316451,N02
PP_F_20140812_78_Y_007_N02,4,0.176776878228,0.983606557377,2014_Aug_12_3D,-37.0793970143,0.11674778865,-63.7263778528,0.153212833951,-0.0678209508655,0.137384464591,PP_F_20140812_78_Y_007_N02,44.3893998535,-66.2078360841,735823.497917,,32,3.63290068388,,3.74964847253,274,284,flood,0.11674778865,3.63290068388,3.74964847253,0.931809646927,0.863988696062,3.51136699319,3.64875145778,N02
PP_F_20140812_78_Y_007_N02,5,0.178126405813,0.983606557377,2014_Aug_12_3D,-44.4414821754,-0.216698916755,35.939887912,0.304060366275,-0.246177375299,-0.178464019428,PP_F_20140812_78_Y_007_N02,44.391384772,-66.207187199,735823.498611,,32,3.82554123236,,3.6088423156,274,284,flood,-0.216698916755,3.82554123236,3.6088423156,0.738766879452,0.492589504153,3.7535302341,3.57506621467,N02
PP_F_20140812_78_Y_007_N02,6,0.179498425629,0.983606557377,2014_Aug_12_3D,-33.1692785614,-0.135825606152,9.04065446164,0.571443994697,-0.564344999231,-0.0897939915523,PP_F_20140812_78_Y_007_N02,44.3934038887,-66.2066637911,735823.499306,,32,3.74374103957,,3.60791543342,274,284,flood,-0.135825606152,3.74374103957,3.60791543342,0.585668851294,0.0213238520635,3.69764640927,3.60785241772,N02
PP_F_20140812_78_Y_007_N02,7,0.180825461208,0.983606557377,2014_Aug_12_3D,-24.9856584296,-0.589183879165,42.8679260497,0.843463085334,-0.618194210852,-0.573816951641,PP_F_20140812_78_Y_007_N02,44.3953089276,-66.2063698797,735823.5,,32,3.62729562193,,3.03811174276,274,284,flood,-0.589183879165,3.62729562193,3.03811174276,0.405961783456,-0.212232427396,3.60450670123,3.03068974959,N02
PP_F_20140812_78_Y_007_N02,8,0.182174988793,0.983606557377,2014_Aug_12_3D,-14.7926852309,-0.621141038802,-82.7121808758,0.622401956345,0.0789540113121,-0.617373840845,PP_F_20140812_78_Y_007_N02,44.3972266652,-66.2065134617,735823.500694,,32,3.79055129985,,3.16941026105,274,284,flood,-0.621141038802,3.79055129985,3.16941026105,-0.698763775626,-0.619809764314,3.72558832169,3.10821448084,N02
PP_F_20140812_78_Y_007_N02,9,0.18354700861,0.983606557377,2014_Aug_12_3D,-16.5026945803,-0.752164049521,74.4409691695,0.81756979189,-0.219297600063,-0.787609628698,PP_F_20140812_78_Y_007_N02,44.3992402079,-66.2068429543,735823.501389,,32,3.57979812572,,2.8276340762,274,284,flood,-0.752164049521,3.57979812572,2.8276340762,-0.299459884244,-0.518757484307,3.56725081801,2.77964118932,N02
PP_F_20140812_78_Y_007_N02,10,0.184874044189,0.983606557377,2014_Aug_12_3D,-13.4375970255,-0.255748838882,47.1727445378,0.375980249555,-0.255587711929,-0.275746386316,PP_F_20140812_78_Y_007_N02,44.4008474378,-66.2069535116,735823.502083,,32,2.67378045035,,2.41803161147,274,284,flood,-0.255748838882,2.67378045035,2.41803161147,-0.0598903316356,-0.315478043565,2.67310962081,2.39736323449,N02
PP_E_20140812_78s_G_004_N03,0,0.551956815179,0.935483870968,2014_Aug_12_3D,-14.7772714437,0.750996950607,-89.4171377891,2.1431710495,0.0218018130035,-2.14306015509,PP_E_20140812_78s_G_004_N03,44.3920967309,-66.2089901045,735823.690972,1.21046775175,38,0.736957245736,0.353927519882,-1.48795419634,333,335,ebb,-2.22491144208,0.736957245736,1.48795419634,0.272874536847,0.294676349851,0.68457685411,-1.45848330099,N03
PP_E_20140812_78s_G_004_N03,1,0.553306342764,0.935483870968,2014_Aug_12_3D,-18.4236697468,1.26826720155,-74.8388478759,2.47031868335,0.64607433914,-2.38433687754,PP_E_20140812_78s_G_004_N03,44.3923364533,-66.2089098897,735823.691667,,38,0.602162066308,,-1.87042926786,333,335,ebb,-2.47259133416,0.602162066308,1.87042926786,-0.113142637198,0.532931701942,0.591437146068,-1.79289973147,N03
PP_E_20140812_78s_G_004_N03,2,0.554655870348,0.935483870968,2014_Aug_12_3D,-23.3048575511,1.61213910309,-74.8644052652,1.64088109316,0.428441033217,-1.58395992467,PP_E_20140812_78s_G_004_N03,44.3922054442,-66.2086821534,735823.692361,,38,-0.881402358793,,-2.49354146189,333,335,ebb,-1.61213910309,0.881402358793,2.49354146189,-0.0465882490184,0.381852784198,-0.880170240998,-2.46413016567,N03
PP_E_20140812_78s_G_005_N03,0,0.564080071888,0.935483870968,2014_Aug_12_3D,-28.2157438191,-0.0476147787016,11.1641958926,0.652285686927,0.639942054868,0.126296412387,PP_E_20140812_78s_G_005_N03,44.3995442195,-66.2081333902,735823.697222,-0.520102139231,46,-2.20356815541,0.640651768744,-2.1559533767,399,410,ebb,0.0476147787016,2.20356815541,2.1559533767,-0.0598916656562,0.580050389211,-2.2027540952,-2.07645768281,N03
PP_E_20140812_78s_G_005_N03,1,0.565429599699,0.935483870968,2014_Aug_12_3D,-34.3515692001,-0.127847169879,21.4814752923,0.614975752774,0.572257086603,0.225204359045,PP_E_20140812_78s_G_005_N03,44.3982937653,-66.2080942048,735823.697917,,46,-2.31113219628,,-2.1832850264,399,410,ebb,0.127847169879,2.31113219628,2.1832850264,0.07652987498,0.648786961583,-2.30986475945,-2.0846604004,N03
PP_E_20140812_78s_G_005_N03,2,0.566824111521,0.935483870968,2014_Aug_12_3D,-39.549914833,-0.320966659935,39.0178471244,0.695399381612,0.540290477269,0.437797327674,PP_E_20140812_78s_G_005_N03,44.3969957437,-66.2079271115,735823.698611,,46,-2.48402347134,,-2.1630568114,399,410,ebb,0.320966659935,2.48402347134,2.1630568114,0.179682822832,0.719973300101,-2.47751623392,-2.03971890625,N03
PP_E_20140812_78s_G_005_N03,3,0.568128655095,0.935483870968,2014_Aug_12_3D,-40.0872024826,-0.131988713887,30.2386942,0.470535620682,0.406512141952,0.236963391214,PP_E_20140812_78s_G_005_N03,44.3958115065,-66.2077641254,735823.699306,,46,-2.49207529417,,-2.36008658028,399,410,ebb,0.131988713887,2.49207529417,2.36008658028,0.376010553653,0.782522695605,-2.46354527771,-2.2265818865,N03
PP_E_20140812_78s_G_005_N03,4,0.569478182679,0.935483870968,2014_Aug_12_3D,-38.0622787128,-0.105820545021,30.0475341934,0.425253972909,0.368104215539,0.21293244933,PP_E_20140812_78s_G_005_N03,44.3945149099,-66.2074488821,735823.7,,46,-2.56647576986,,-2.46065522484,399,410,ebb,0.105820545021,2.56647576986,2.46065522484,0.489157310626,0.857261526165,-2.51942910254,-2.30649665321,N03
PP_E_20140812_78s_G_005_N03,5,0.570872694502,0.935483870968,2014_Aug_12_3D,-40.2060762017,0.0383924900451,3.15667858259,0.425442441798,0.424796911811,0.0234276545893,PP_E_20140812_78s_G_005_N03,44.3930254458,-66.2071913481,735823.700694,,46,-2.91839712792,,-2.95678961797,399,410,ebb,-0.0383924900451,2.91839712792,2.95678961797,0.212971868587,0.637768780397,-2.91061587632,-2.88718822173,N03
PP_E_20140812_78s_G_005_N03,6,0.572177238075,0.935483870968,2014_Aug_12_3D,-48.1328405862,-0.170777438199,20.6206243539,0.45543654542,0.426258012638,0.160394992335,PP_E_20140812_78s_G_005_N03,44.391460293,-66.2073068926,735823.701389,,46,-3.09185213346,,-2.92107469526,399,410,ebb,0.170777438199,3.09185213346,2.92107469526,-0.289516376468,0.13674163617,-3.07826735079,-2.91787235846,N03
PP_E_20140812_78s_G_005_N03,7,0.57352676566,0.935483870968,2014_Aug_12_3D,-41.7357191934,-0.467953612286,35.3327923841,0.671987973934,0.548212310433,0.388627198998,PP_E_20140812_78s_G_005_N03,44.3896679487,-66.2077177735,735823.702083,,46,-3.63812554948,,-3.17017193719,399,410,ebb,0.467953612286,3.63812554948,3.17017193719,-0.802018201039,-0.253805890605,-3.54862287641,-3.15999567741,N03
PP_E_20140812_78s_G_005_N03,8,0.574921277482,0.935483870968,2014_Aug_12_3D,-40.4131411535,-0.554662564968,44.9061364534,0.725617150456,0.513928675164,0.51224756308,PP_E_20140812_78s_G_005_N03,44.3877359619,-66.208170983,735823.702778,,46,-3.55864509213,,-3.00398252716,399,410,ebb,0.554662564968,3.55864509213,3.00398252716,-0.54911772297,-0.0351890478063,-3.51602397859,-3.00377641551,N03
